2026-06-12 17:25:03 | INFO    | step_analysis_service:176 | 使用演示 ProductGraph（测试文件）
2026-06-12 17:25:03 | INFO    | process_generation_service:67 | 开始生成工艺流程，ProductGraph ID: 63df8340-1c7c-4454-b4ff-8a2c479a6bb5
2026-06-12 17:25:03 | INFO    | review_service:57 | 开始处理审核，工艺 ID: d266d28f-7859-49c8-9c68-33dbf819427e，决策数: 5
2026-06-12 17:25:03 | INFO    | step_analysis_service:137 | 开始解析 STEP 文件：laser_sensor_mount.step
2026-06-12 17:25:03 | INFO    | step_analysis_service:176 | 使用演示 ProductGraph（测试文件）
2026-06-12 17:25:03 | INFO    | process_generation_service:67 | 开始生成工艺流程，ProductGraph ID: 944d98b9-a636-4459-9087-5871ff8180c8
2026-06-12 17:25:03 | INFO    | review_service:57 | 开始处理审核，工艺 ID: cbddc7f3-0138-4218-a074-6eb97645f740，决策数: 0
2026-06-12 17:25:04 | INFO    | process_generation_service:67 | 开始生成工艺流程，ProductGraph ID: 00000000-0000-0000-0000-00000000dead
2026-06-12 17:25:04 | ERROR   | process_generation_service:72 | ProductGraph 未找到：00000000-0000-0000-0000-00000000dead
2026-06-12 17:25:04 | INFO    | step_analysis_service:137 | 开始解析 STEP 文件：laser_sensor_mount.step
2026-06-12 17:25:04 | INFO    | step_analysis_service:176 | 使用演示 ProductGraph（测试文件）
2026-06-12 17:25:04 | INFO    | process_generation_service:67 | 开始生成工艺流程，ProductGraph ID: 9580d2e1-44c2-4cf4-8d32-ce777b4dcf70
2026-06-12 17:25:04 | INFO    | review_service:57 | 开始处理审核，工艺 ID: bc4ec726-25dd-4504-8dec-4128d4b252be，决策数: 5
2026-06-12 17:25:04 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:04 | INFO    | image_service:155 | 步骤 1 示意图已生成：step_1_1ab7e7a8.png
2026-06-12 17:25:04 | INFO    | image_service:155 | 步骤 2 示意图已生成：step_2_c052a77e.png
2026-06-12 17:25:04 | INFO    | image_service:155 | 步骤 3 示意图已生成：step_3_c0300ed2.png
2026-06-12 17:25:04 | INFO    | image_service:155 | 步骤 4 示意图已生成：step_4_1509553b.png
2026-06-12 17:25:04 | INFO    | image_service:155 | 步骤 5 示意图已生成：step_5_68dc995a.png
2026-06-12 17:25:04 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:04 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:05 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:05 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:05 | INFO    | step_analysis_service:137 | 开始解析 STEP 文件：laser_sensor_mount.step
2026-06-12 17:25:05 | INFO    | step_analysis_service:176 | 使用演示 ProductGraph（测试文件）
2026-06-12 17:25:05 | INFO    | process_generation_service:67 | 开始生成工艺流程，ProductGraph ID: fd9f5dce-2528-47eb-b98e-2598e3702c13
2026-06-12 17:25:05 | INFO    | review_service:57 | 开始处理审核，工艺 ID: e69a429c-6771-4883-9833-eda6487171e6，决策数: 5
2026-06-12 17:25:05 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:05 | INFO    | image_service:155 | 步骤 1 示意图已生成：step_1_7b41cfb8.png
2026-06-12 17:25:05 | INFO    | image_service:155 | 步骤 2 示意图已生成：step_2_718ca525.png
2026-06-12 17:25:05 | INFO    | image_service:155 | 步骤 3 示意图已生成：step_3_1f7cd2d6.png
2026-06-12 17:25:05 | INFO    | image_service:155 | 步骤 4 示意图已生成：step_4_b677109c.png
2026-06-12 17:25:05 | INFO    | image_service:155 | 步骤 5 示意图已生成：step_5_846355f9.png
2026-06-12 17:25:05 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:05 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:08 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 1 示意图已生成：step_1_1eee4b48.png
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 2 示意图已生成：step_2_20f477b1.png
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 3 示意图已生成：step_3_1dea769a.png
2026-06-12 17:25:08 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 1 示意图已生成：step_1_1a0491ac.png
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 2 示意图已生成：step_2_5babae3b.png
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 3 示意图已生成：step_3_50c18472.png
2026-06-12 17:25:08 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 1 示意图已生成：step_1_7fa253b4.png
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 2 示意图已生成：step_2_4213f0d7.png
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 3 示意图已生成：step_3_0970823e.png
2026-06-12 17:25:08 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:08 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 1 示意图已生成：step_1_6dbd0d25.png
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 2 示意图已生成：step_2_59ee7277.png
2026-06-12 17:25:08 | INFO    | image_service:155 | 步骤 3 示意图已生成：step_3_378f1a66.png
2026-06-12 17:25:09 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:09 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:09 | INFO    | image_service:155 | 步骤 1 示意图已生成：step_1_d3fbdd95.png
2026-06-12 17:25:09 | INFO    | image_service:155 | 步骤 2 示意图已生成：step_2_f13aaf52.png
2026-06-12 17:25:09 | INFO    | image_service:155 | 步骤 3 示意图已生成：step_3_bf559980.png
2026-06-12 17:25:09 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
